dt,eto (mm/day),vpd (kPa)
01/03/2024,4.242548901,1.860463501
02/03/2024,4.912659466,1.691883891
03/03/2024,4.691149655,1.190096617
04/03/2024,4.138469366,1.137450235
05/03/2024,3.931955545,1.138527628
06/03/2024,4.894999182,1.404343714
07/03/2024,3.679930481,1.156265645
08/03/2024,4.234049707,1.22390865
09/03/2024,4.086932464,1.240448638
10/03/2024,4.683955591,1.190308321
11/03/2024,4.330315815,1.203982211
12/03/2024,4.651325335,1.611901194
13/03/2024,5.200556106,2.08056064
14/03/2024,4.785702187,1.540994081
15/03/2024,5.063844659,1.336584404
16/03/2024,3.716776675,1.24606401
17/03/2024,3.824855467,1.505493739
18/03/2024,4.409817265,1.139848162
19/03/2024,3.256979073,0.961344473
20/03/2024,5.432306712,1.518498333
21/03/2024,5.263869753,1.730899053
22/03/2024,5.336294732,1.341936696
23/03/2024,5.100229429,1.250796223
24/03/2024,3.963568824,1.132604566
25/03/2024,4.047262537,1.231331913
26/03/2024,5.609333273,1.890220915
27/03/2024,5.125095297,1.975391542
28/03/2024,5.027905703,2.290762707
29/03/2024,5.795958542,2.394351365
30/03/2024,6.475313031,2.367213536
31/03/2024,6.576542884,2.623476668
01/04/2024,7.112408491,2.845562696
02/04/2024,6.246459704,2.978609889
03/04/2024,6.928107667,2.970559504
04/04/2024,6.282026016,2.785926921
05/04/2024,6.297609908,2.736135323
06/04/2024,6.545058204,1.747124435
07/04/2024,5.603871403,1.633595644
08/04/2024,5.327052838,1.884183616
09/04/2024,5.852135069,1.638059106
10/04/2024,4.727367913,1.502945955
11/04/2024,5.598472564,1.702583862
12/04/2024,6.329973205,1.65136866
13/04/2024,6.317762655,1.494358319
14/04/2024,6.518602707,1.587110757
15/04/2024,5.576142152,1.563578282
16/04/2024,6.126384342,2.186180327
17/04/2024,6.754817347,3.090679916
18/04/2024,7.682871332,2.715774392
19/04/2024,6.580090892,1.773659305
20/04/2024,6.603965125,2.14070692
21/04/2024,7.622377886,2.128510305
22/04/2024,6.236285737,2.102927959
23/04/2024,6.296343177,2.728936497
24/04/2024,7.411352745,4.089623819
25/04/2024,8.315456872,4.902342606
26/04/2024,7.456039853,2.140095645
27/04/2024,6.354227508,1.997197455
28/04/2024,6.383796262,1.751608601
29/04/2024,7.166044206,1.764812962
30/04/2024,7.128839625,1.862835245
01/05/2024,7.234368738,2.037335396
02/05/2024,6.848851121,1.896072189
03/05/2024,7.726127283,2.307089073
04/05/2024,7.673311304,2.583023372
05/05/2024,7.040927411,2.363717343
06/05/2024,6.266093399,1.738959374
07/05/2024,6.326667254,1.935157484
08/05/2024,7.019356462,2.347936481
09/05/2024,7.139571426,3.560610524
10/05/2024,7.530422297,3.992274879
11/05/2024,9.021544342,3.330882571
12/05/2024,6.858525724,2.018250142
13/05/2024,5.867362062,1.79562686
14/05/2024,6.814579374,1.859749333
15/05/2024,7.148332886,1.908012717
16/05/2024,6.974788689,2.105906049
17/05/2024,6.981214876,2.698688148
18/05/2024,7.146779526,3.352280687
19/05/2024,8.083866264,3.8695331
20/05/2024,8.275312866,4.432470709
21/05/2024,9.242485713,3.803693229
22/05/2024,8.098090234,3.531713195
23/05/2024,8.841914784,4.25563054
24/05/2024,9.58985631,2.870199521
25/05/2024,7.651391429,2.345689435
26/05/2024,6.599254064,2.85432938
27/05/2024,7.236955106,2.953934441
28/05/2024,7.068464726,2.428993808
29/05/2024,7.283547515,2.092310415
30/05/2024,8.352463439,2.292811268
31/05/2024,7.75165,2.508867467
01/06/2024,7.915203813,3.076398041
02/06/2024,8.727016329,3.465480777
03/06/2024,9.590996595,3.573536594
04/06/2024,9.263731601,3.918906085
05/06/2024,9.534690079,4.276843716
06/06/2024,8.759147668,4.693599655
07/06/2024,9.676593027,5.105626107
08/06/2024,10.05529322,5.186627247
09/06/2024,9.357665232,3.613421688
10/06/2024,9.240194125,3.333658344
11/06/2024,9.299678321,3.724321983
12/06/2024,8.683646255,3.861536365
13/06/2024,7.885689334,4.304676524
14/06/2024,9.63628959,5.220564291
15/06/2024,10.68919676,5.478780606
16/06/2024,11.3787631,4.684636906
17/06/2024,9.628668428,3.494664601
18/06/2024,9.228577192,3.401339997
19/06/2024,8.964236743,3.494155719
20/06/2024,9.41973994,3.515841103
21/06/2024,9.122516058,4.087895773
22/06/2024,9.155369878,3.522874832
23/06/2024,9.043493343,3.927720827
24/06/2024,9.496349163,4.54222944
25/06/2024,9.662517076,4.584381601
26/06/2024,9.429022771,4.172015183
27/06/2024,9.311000781,3.620471127
28/06/2024,10.00152333,4.143933881
29/06/2024,9.281164076,3.857372323
30/06/2024,8.856798694,3.260363775
01/07/2024,8.967762286,3.092690979
02/07/2024,9.327295999,3.357735093
03/07/2024,8.64429337,4.292639956
04/07/2024,7.638452244,4.707204481
05/07/2024,9.214071039,4.216392348
06/07/2024,9.088611084,2.859107133
07/07/2024,9.120057455,3.158762449
08/07/2024,9.177794704,3.519115056
09/07/2024,8.917995044,4.269411055
10/07/2024,8.160580005,4.899218285
11/07/2024,9.332036755,5.228799602
12/07/2024,8.433210923,5.217645747
13/07/2024,9.146694063,4.301116962
14/07/2024,8.952415187,3.491417037
15/07/2024,8.480223438,3.242306724
16/07/2024,8.803681266,3.971956156
17/07/2024,9.368818549,4.041917595
18/07/2024,9.143469727,4.183495211
19/07/2024,9.556877552,4.043089823
20/07/2024,8.989611058,4.022542737
21/07/2024,9.724055098,4.699915431
22/07/2024,9.899913293,4.541393701
23/07/2024,9.247060766,4.37415576
24/07/2024,8.662287696,3.696779452
25/07/2024,8.554744588,4.490568471
26/07/2024,8.580366073,3.423301795
27/07/2024,7.848311813,3.055178176
28/07/2024,9.331544338,3.62907929
29/07/2024,8.919249322,3.22443756
30/07/2024,8.864571536,3.56849983
31/07/2024,8.355648773,4.168271139
01/08/2024,8.374918264,4.294539311
02/08/2024,9.178391559,4.299037906
03/08/2024,8.343318945,3.757193779
04/08/2024,7.740489736,3.565611404
05/08/2024,8.806005278,3.460369534
06/08/2024,8.603846135,3.799303164
07/08/2024,8.557559922,3.649624697
08/08/2024,8.650341805,3.60275426
09/08/2024,8.498494042,3.768903828
10/08/2024,8.345109397,3.165010329
11/08/2024,7.537256124,2.926490749
12/08/2024,8.395957819,3.049771383
13/08/2024,8.325068902,3.662971924
14/08/2024,8.195378494,3.391388541
15/08/2024,8.94642121,3.156351727
16/08/2024,8.450899961,3.099015269
17/08/2024,8.054757073,3.216904334
18/08/2024,7.886792097,4.299033271
19/08/2024,7.964738951,4.318901769
20/08/2024,8.871568301,3.436819345
21/08/2024,8.34864731,2.973613296
22/08/2024,8.412374621,3.059636839
23/08/2024,8.207195951,2.877627407
24/08/2024,7.831349868,2.761768935
25/08/2024,7.293584275,3.126869094
26/08/2024,6.817988256,4.001478642
27/08/2024,7.686900056,3.925452565
28/08/2024,7.76222663,3.210714037
29/08/2024,8.083838,2.770208179
30/08/2024,7.226191486,2.65053423
31/08/2024,7.149110171,2.685666692
01/09/2024,7.120229582,2.771755378
02/09/2024,6.811830192,3.150659972
03/09/2024,7.289351272,2.953103443
04/09/2024,7.022362529,2.620154026
05/09/2024,6.757594967,2.605192928
06/09/2024,6.78545419,2.868236381
07/09/2024,7.213851657,2.939064408
08/09/2024,7.207382882,3.005290406
09/09/2024,7.133551647,3.380885339
10/09/2024,6.886022823,3.037355326
11/09/2024,6.086151261,3.552560777
12/09/2024,6.780943533,3.817851805
13/09/2024,7.567557027,3.51527118
14/09/2024,7.323075255,2.521795388
15/09/2024,6.540133627,2.482930926
16/09/2024,5.819142145,2.408231735
17/09/2024,6.62671725,2.602795272
18/09/2024,6.466182894,2.39232761
19/09/2024,5.815733223,2.497266708
20/09/2024,5.410586558,3.013470933
21/09/2024,6.575479059,2.629948775
22/09/2024,5.923186805,2.300615798
23/09/2024,5.983741623,2.24718964
24/09/2024,6.427810559,2.340674862
25/09/2024,6.397058695,2.284633793
26/09/2024,6.105903979,2.212613209
27/09/2024,6.151254606,2.428146988
28/09/2024,6.177417224,2.444951062
29/09/2024,6.286868839,2.213630686
30/09/2024,5.542300168,2.189102061
01/10/2024,5.589032239,2.081548912
02/10/2024,5.621788485,2.066223644
03/10/2024,5.710630231,2.172316862
04/10/2024,5.642019159,2.096256857
05/10/2024,5.749949454,2.043037184
06/10/2024,5.735395608,1.954065209
07/10/2024,5.887853138,2.120104119
08/10/2024,5.724594708,2.063646392
09/10/2024,5.5952012,2.23700602
10/10/2024,5.482647131,1.948152213
11/10/2024,4.957745272,1.790059771
12/10/2024,4.899224966,1.874322587
13/10/2024,4.701289192,1.840887385
14/10/2024,4.39529891,1.961420318
15/10/2024,4.972146159,2.081581834
16/10/2024,4.977720727,1.88283735
17/10/2024,5.342259133,1.896690922
18/10/2024,5.162752392,1.979175119
19/10/2024,4.893329983,1.938211592
20/10/2024,4.422188154,2.048641248
21/10/2024,4.720637021,1.99934771
22/10/2024,4.708675191,1.870536762
23/10/2024,5.873025007,2.27610137
24/10/2024,7.2077362,2.586235261
25/10/2024,5.714456431,2.644284518
26/10/2024,4.584162318,2.219101993
27/10/2024,4.2349486,2.125425674
28/10/2024,4.30396915,2.148884097
29/10/2024,4.547200421,2.009953734
30/10/2024,4.12384269,1.630404329
31/10/2024,3.80003739,1.524177232
01/11/2024,3.534218452,1.482655979
02/11/2024,3.7649859,1.562935002
03/11/2024,3.402395527,1.48933217
04/11/2024,3.054999484,1.526775356
05/11/2024,3.337196365,1.370179656
06/11/2024,4.184499774,1.912798712
,,
